"hora"	"total_base"	"total_impuesto"	"total_transaccion"	"vuelto"	"donacion"
"07:36:00.0"	"311.61"	"37.39"	349	0	0
"07:37:00.0"	"592.98"	"71.16"	"664.14"	0	0
"07:44:00.0"	"699.32"	"83.92"	"783.24"	15	"1.76"
"07:47:00.0"	"2,421.07"	"290.53"	"2,711.6"	0	0
"07:50:00.0"	"1,783.92"	"214.07"	"1,997.99"	0	"0.01"
"07:51:00.0"	"200.89"	"24.11"	225	0	0
"07:56:20.0"	400	0	400	0	0
"07:59:00.0"	"567.86"	"68.14"	636	64	0
"08:00:11.0"	250	0	250	0	0
"08:02:00.0"	"406.45"	"48.77"	"455.22"	"44.78"	0
"08:03:00.0"	"103.4"	"12.41"	"115.81"	"28.97"	0
"08:09:00.0"	"5,069.11"	"608.29"	"5,677.4"	0	0
"08:13:00.0"	"2,450.78"	"294.09"	"2,744.87"	0	0
"08:14:00.0"	"225.89"	"27.11"	253	0	1
"08:16:00.0"	"694.64"	"83.36"	778	0	0
"08:17:00.0"	"227.68"	"27.32"	255	0	0
"08:19:00.0"	"130.09"	"15.61"	"145.7"	0	0
"08:37:00.0"	"537.41"	"64.49"	"601.9"	0	0
"08:41:00.0"	"3,966.62"	"475.99"	"4,442.61"	0	0
"08:45:00.0"	"208.48"	"25.02"	"233.5"	0	0
"08:49:00.0"	"1,847.56"	"221.71"	"2,069.27"	0	0
"08:52:00.0"	"87.05"	"10.45"	"97.5"	"202.5"	0
"08:53:01.0"	"152.5"	0	"152.5"	50	0
"08:53:58.0"	0	0	0	0	0
"08:54:15.0"	200	0	200	0	0
"08:55:00.0"	"916.08"	"109.93"	"1,026.01"	"23.99"	0
"08:57:00.0"	"228.02"	"27.36"	"255.38"	0	0
"09:03:55.0"	0	0	0	0	0
"09:30:00.0"	"343.53"	"41.22"	"384.75"	15	"0.25"
"09:33:00.0"	"1,706.98"	"204.84"	"1,911.82"	0	0
"09:35:00.0"	"1,761.61"	"211.39"	"1,973"	0	0
"09:38:00.0"	"2,102.67"	"252.32"	"2,354.99"	0	0
"09:42:00.0"	"2,068.78"	"248.25"	"2,317.03"	0	0
"09:44:00.0"	"1,080.34"	"129.64"	"1,209.98"	0	0
"09:48:00.0"	"804.82"	"96.58"	"901.4"	0	0
"09:51:00.0"	"2,667.68"	"320.12"	"2,987.8"	0	0
"09:52:00.0"	"88.8"	"10.66"	"99.46"	0	"0.54"
"09:54:00.0"	"1,401.75"	"168.21"	"1,569.96"	0	"5.04"
"09:55:00.0"	"136.61"	"16.39"	153	0	0
"09:55:56.0"	100	0	100	0	0
"09:57:10.0"	100	0	100	0	0
"09:58:00.0"	"126.7"	"15.2"	"141.9"	0	0
"10:01:00.0"	"2,787.77"	"334.53"	"3,122.3"	0	0
"10:02:00.0"	"40.05"	"4.81"	"44.86"	5	"0.14"
"10:04:00.0"	"424.88"	"50.99"	"475.87"	0	0
"10:08:00.0"	"1,793.12"	"215.17"	"2,008.29"	0	0
"10:08:43.0"	"3,177.66"	"381.32"	"3,558.98"	0	0
"10:15:00.0"	"161.66"	"19.4"	"181.06"	0	0
"10:17:00.0"	"547.32"	"65.68"	613	0	0
"10:18:00.0"	"1,544.64"	"185.36"	"1,730"	0	0
"10:19:00.0"	"240.01"	"28.8"	"268.81"	0	"1.19"
"10:24:00.0"	"6,709.53"	"805.14"	"7,514.67"	5	"0.33"
"10:29:00.0"	"1,114.95"	"133.79"	"1,248.74"	51	"0.26"
"10:30:00.0"	"83.54"	"10.02"	"93.56"	5	"1.44"
"10:33:00.0"	"3,389.2"	"406.7"	"3,795.9"	0	0
"10:36:00.0"	"395.63"	"47.48"	"443.11"	0	0
"10:37:11.0"	100	0	100	0	0
"10:40:00.0"	"1,547.32"	"185.68"	"1,733"	0	0
"10:44:00.0"	"9,184.61"	"1,102.15"	"10,286.76"	0	0
"10:48:00.0"	"174.56"	"20.95"	"195.51"	0	0
"10:49:00.0"	"170.5"	"20.46"	"190.96"	0	0
"10:52:00.0"	"567.09"	"68.05"	"635.14"	0	0
"10:53:00.0"	"621.92"	"74.63"	"696.55"	"3.45"	0
"10:56:00.0"	"1,607.98"	"192.96"	"1,800.94"	0	0
"10:58:00.0"	"3,513.41"	"421.61"	"3,935.02"	0	0
"11:03:00.0"	"4,111.39"	"493.37"	"4,604.76"	0	0
"11:05:00.0"	"3,519.63"	"422.36"	"3,941.99"	0	0
"11:07:00.0"	"1,084.72"	"130.17"	"1,214.89"	0	0
"11:09:00.0"	"3,567.99"	"428.16"	"3,996.15"	0	0
"11:11:00.0"	"1,854.2"	"222.5"	"2,076.7"	0	0
"11:13:00.0"	"541.96"	"65.04"	607	0	0
"11:15:00.0"	"193.75"	"23.25"	217	0	0
"11:17:00.0"	"494.91"	"59.39"	"554.3"	0	0
"11:18:00.0"	"2,266.67"	272	"2,538.67"	0	0
"11:22:00.0"	"642.98"	"77.16"	"720.14"	0	0
"11:23:00.0"	"305.58"	"36.67"	"342.25"	57	"0.75"
"11:25:00.0"	"408.68"	"49.04"	"457.72"	0	0
"11:27:00.0"	"9,282.14"	"1,113.86"	"10,396"	0	0
"11:28:00.0"	"1,366.07"	"163.93"	"1,530"	0	0
"11:29:00.0"	"187.5"	"22.5"	210	0	0
"11:33:00.0"	"3,337.45"	"400.49"	"3,737.94"	0	0
"11:33:55.0"	"3,104.47"	"372.54"	"3,477.01"	0	0
"11:36:00.0"	"1,138.25"	"136.59"	"1,274.84"	0	0
"11:37:00.0"	"292.54"	"35.1"	"327.64"	0	0
"11:38:20.0"	"1,092.41"	"131.09"	"1,223.5"	0	0
"11:40:00.0"	"6,550.89"	"786.11"	"7,337"	0	0
"11:45:00.0"	"11,018.31"	"1,322.2"	"12,340.51"	0	0
"11:47:00.0"	"1,930.98"	"231.72"	"2,162.7"	0	0
"12:04:00.0"	"77,103.92"	"9,252.47"	"86,356.39"	"43.61"	0
"12:04:00.0"	"103.92"	"12.47"	"116.39"	0	0
"12:04:00.0"	"77,000"	"9,240"	"86,240"	"43.61"	0
"13:26:00.0"	"1,137.5"	"136.5"	"1,274"	0	0
"13:38:00.0"	"3,294.64"	"395.36"	"3,690"	0	0
"13:40:00.0"	"361.61"	"43.39"	405	0	0
"13:47:00.0"	"2,672.42"	"320.69"	"2,993.11"	0	0
"13:48:34.0"	500	0	500	0	0
"13:50:00.0"	"2,832.14"	"339.86"	"3,172"	0	0
"13:51:00.0"	"653.57"	"78.43"	732	0	0
"13:54:00.0"	"39.55"	"4.75"	"44.3"	"5.7"	0
"13:55:10.0"	100	0	100	0	0
"13:55:48.0"	100	0	100	0	0
"13:56:29.0"	70	0	70	30	0
"13:59:00.0"	"848.86"	"101.86"	"950.72"	0	0
"14:02:00.0"	"1,994.02"	"239.28"	"2,233.3"	0	0
"14:05:00.0"	"1,651.79"	"198.21"	"1,850"	0	0
"14:06:00.0"	"1,544.64"	"185.36"	"1,730"	0	0
"14:10:00.0"	"1,069.21"	"128.31"	"1,197.52"	"2.48"	0
"14:10:00.0"	"874.11"	"104.89"	979	21	0
"14:12:00.0"	"183.22"	"21.99"	"205.21"	0	0
"14:15:00.0"	"5,031.8"	"603.82"	"5,635.62"	0	0
"14:18:00.0"	"151.43"	"18.17"	"169.6"	"30.4"	0
"14:19:12.0"	50	0	50	50	0
