"fecha"	"hora"	"total_base"	"total_impuesto"	"total_transaccion"	"vuelto"	"donacion"
"2014-08-01"	"10:25:00.0"	"249.11"	"29.89"	279	0	0
"2014-08-01"	"10:26:00.0"	"520.54"	"62.46"	583	0	0
"2014-08-01"	"10:29:00.0"	"2,586.52"	"310.38"	"2,896.9"	0	0
"2014-08-01"	"10:30:00.0"	"45.89"	"5.51"	"51.4"	50	"0.6"
"2014-08-01"	"10:32:00.0"	"325.89"	"39.11"	365	5	0
"2014-08-01"	"10:35:00.0"	"465.44"	"55.85"	"521.29"	0	0
"2014-08-01"	"10:49:02.0"	150	0	150	0	0
"2014-08-01"	"10:53:00.0"	"9,846.24"	"1,181.55"	"11,027.79"	0	0
"2014-08-01"	"10:55:58.0"	100	0	100	0	0
"2014-08-01"	"10:56:28.0"	100	0	100	0	0
"2014-08-01"	"10:58:00.0"	"348.21"	"41.79"	390	0	0
"2014-08-01"	"11:01:00.0"	"2,462.37"	"295.48"	"2,757.85"	0	0
"2014-08-01"	"11:02:00.0"	192	"23.04"	"215.04"	0	0
"2014-08-01"	"11:04:00.0"	"842.84"	"101.14"	"943.98"	0	0
"2014-08-01"	"11:07:00.0"	"260.4"	"31.25"	"291.65"	0	0
"2014-08-01"	"11:08:00.0"	"98.14"	"11.78"	"109.92"	0	0
"2014-08-01"	"11:13:00.0"	"891.96"	"107.04"	999	0	0
"2014-08-01"	"11:14:00.0"	"15.08"	"1.81"	"16.89"	5	"0.11"
"2014-08-01"	"11:16:00.0"	"4,641.33"	"556.96"	"5,198.29"	0	0
"2014-08-01"	"11:17:00.0"	"718.66"	"86.24"	"804.9"	0	0
"2014-08-01"	"11:19:00.0"	"242.55"	"29.11"	"271.66"	30	"0.34"
"2014-08-01"	"11:20:00.0"	"1,767.84"	"212.14"	"1,979.98"	"20.02"	0
"2014-08-01"	"11:26:00.0"	"5,794.49"	"695.34"	"6,489.83"	0	0
"2014-08-01"	"11:27:00.0"	"689.3"	"82.72"	"772.02"	0	0
"2014-08-01"	"11:29:00.0"	"1,666.11"	"199.93"	"1,866.04"	0	0
"2014-08-01"	"11:31:00.0"	"226.21"	"27.15"	"253.36"	0	0
"2014-08-01"	"11:33:00.0"	"2,394.64"	"287.36"	"2,682"	0	0
"2014-08-01"	"11:34:00.0"	"262.76"	"31.53"	"294.29"	5	"0.71"
"2014-08-01"	"11:35:00.0"	"156.69"	"18.8"	"175.49"	0	0
"2014-08-01"	"11:36:41.0"	50	0	50	0	0
"2014-08-01"	"11:37:11.0"	500	0	500	0	0
"2014-08-01"	"11:40:00.0"	"1,876.22"	"221.63"	"2,097.85"	0	0
"2014-08-01"	"11:41:22.0"	300	0	300	0	0
"2014-08-01"	"11:44:00.0"	"424.11"	"50.89"	475	0	0
"2014-08-01"	"11:46:00.0"	"2,128.58"	"255.43"	"2,384.01"	0	0
"2014-08-01"	"11:48:00.0"	"944.82"	"113.38"	"1,058.2"	0	0
"2014-08-01"	"11:51:00.0"	"15,012.97"	"1,801.56"	"16,814.53"	0	0
"2014-08-01"	"11:53:00.0"	"758.04"	"90.96"	849	0	0
"2014-08-01"	"11:56:00.0"	"7,580.36"	"909.64"	"8,490"	0	0
"2014-08-01"	"11:58:00.0"	"1,965.6"	"235.87"	"2,201.47"	0	0
"2014-08-01"	"12:01:00.0"	"698.91"	"80.35"	"779.26"	0	0
"2014-08-01"	"12:02:00.0"	"1,965.6"	"235.87"	"2,201.47"	0	0
"2014-08-01"	"12:03:00.0"	"1,171.85"	"140.62"	"1,312.47"	0	0
"2014-08-01"	"12:04:05.0"	200	0	200	0	0
"2014-08-01"	"12:06:00.0"	"1,734.03"	"208.08"	"1,942.11"	0	0
"2014-08-01"	"12:07:00.0"	"1,351.74"	"162.21"	"1,513.95"	0	0
"2014-08-01"	"12:10:00.0"	"2,276.88"	"273.23"	"2,550.11"	0	0
"2014-08-01"	"12:12:00.0"	"482.16"	"57.86"	"540.02"	0	0
"2014-08-01"	"12:12:37.0"	100	0	100	0	0
"2014-08-01"	"12:14:00.0"	"273.22"	"32.79"	"306.01"	0	0
"2014-08-01"	"12:15:00.0"	"467.86"	"56.14"	524	76	0
"2014-08-01"	"12:16:00.0"	"30.4"	"3.65"	"34.05"	"15.95"	0
"2014-08-01"	"12:18:00.0"	"1,106.79"	"132.81"	"1,239.6"	"10.4"	0
"2014-08-01"	"12:20:00.0"	"2,021.98"	"242.64"	"2,264.62"	0	0
"2014-08-01"	"12:21:28.0"	500	0	500	0	0
"2014-08-01"	"12:22:00.0"	"86.16"	"10.34"	"96.5"	3	"0.5"
"2014-08-01"	"12:45:00.0"	"2,694.66"	"323.36"	"3,018.02"	0	"0.98"
"2014-08-01"	"12:46:00.0"	"9,008.92"	"1,081.07"	"10,089.99"	0	0
"2014-08-01"	"12:47:00.0"	"8,854.71"	"1,062.57"	"9,917.28"	"172.71"	0
"2014-08-01"	"13:34:00.0"	"88.84"	"10.66"	"99.5"	0	"0.5"
"2014-08-01"	"13:43:58.0"	"272.59"	0	"272.59"	0	0
"2014-08-01"	"13:50:00.0"	"343.98"	"41.28"	"385.26"	0	0
"2014-08-01"	"14:03:00.0"	"1,991.94"	"239.03"	"2,230.97"	0	0
"2014-08-01"	"14:06:15.0"	70	0	70	0	0
"2014-08-01"	"14:07:06.0"	50	0	50	0	0
"2014-08-01"	"14:09:00.0"	"844.64"	"101.36"	946	5	0
"2014-08-01"	"14:10:00.0"	"763.39"	"91.61"	855	0	0
"2014-08-01"	"14:13:00.0"	"1,311.56"	"157.39"	"1,468.95"	0	0
"2014-08-01"	"14:21:00.0"	"1,377.84"	"165.34"	"1,543.18"	6	"0.82"
"2014-08-01"	"15:00:00.0"	"651.62"	"78.19"	"729.81"	0	0
"2014-08-01"	"15:02:00.0"	"493.75"	"59.25"	553	0	0
"2014-08-01"	"15:04:00.0"	"2,297.05"	"275.65"	"2,572.7"	0	0
"2014-08-01"	"15:06:00.0"	"329.23"	"39.51"	"368.74"	0	0
"2014-08-01"	"15:07:00.0"	"410.72"	"49.29"	"460.01"	0	0
"2014-08-01"	"15:08:00.0"	"521.07"	"62.53"	"583.6"	0	0
"2014-08-01"	"15:09:30.0"	0	0	0	0	0
"2014-08-01"	"15:12:00.0"	"12,238.36"	"1,468.6"	"13,706.96"	0	0
"2014-08-01"	"15:13:00.0"	"164.2"	"19.7"	"183.9"	"16.1"	0
"2014-08-01"	"15:14:00.0"	"25.5"	"3.06"	"28.56"	"1.44"	0
"2014-08-01"	"15:16:00.0"	"1,154.46"	"138.54"	"1,293"	0	0
"2014-08-01"	"15:20:00.0"	"1,695.06"	"203.41"	"1,898.47"	0	0
"2014-08-01"	"15:22:00.0"	"873.22"	"104.79"	"978.01"	0	0
"2014-08-01"	"15:23:00.0"	"1,026.8"	"123.22"	"1,150.02"	0	0
"2014-08-01"	"15:25:00.0"	"2,447.95"	"293.75"	"2,741.7"	0	0
"2014-08-01"	"15:27:00.0"	"1,382.16"	"165.86"	"1,548.02"	"1.98"	0
"2014-08-01"	"15:27:25.0"	300	0	300	0	0
"2014-08-01"	"15:29:00.0"	"705.36"	"84.64"	790	0	0
